FIRETYPE,SEASON,FIRE_NO,NAME,START_DATE,STRTDATIT,TREAT_TYPE,FIREKEY,DSE_ID,CFA_ID,AREA_HA,latitude,longitude
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.75681467,141.2845641
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.60160537,141.0343693
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.02,-35.75646273,141.2808572
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.75628254,141.2808013
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0002,-34.6015245,141.0324381
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0.0002,-34.60161317,141.0356686
BUSHFIRE,2020,65,MALLEE 65 - TAPLAN - SETTLEMENT ROAD,12/20/2019,20191220,FIRE,W202022065,969826,,0,-34.60158926,141.0356865
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.03,-35.75629725,141.3114414
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.75435741,141.2940679
BUSHFIRE,2018,52,MALLEE 52 - BIG DESERT - RED BLUFF TRACK,1/19/2018,20180119,FIRE,W201822052,935484,,0.01,-35.75393157,141.2836689
